ID,HIST1H4I,HIST1H4E,HIST1H4J,HIST1H4H,HIST1H4C,HIST2H4B,HIST1H4F,HIST1H4K,HIST1H2BJ,HIST1H2BB,lable
GSM6150909_CD1849_20080521_U133Plus2.CEL.gz,5.780518465,5.780518465,5.780518465,5.780518465,5.780518465,5.780518465,5.780518465,5.780518465,8.499377494,5.207367645,0
GSM6150913_CD1880_20080527_U133Plus2.CEL.gz,5.441655701,5.441655701,5.441655701,5.441655701,5.441655701,5.441655701,5.441655701,5.441655701,7.414264053,5.05279456,0
GSM6150915_HZ0003_20050726_U133Plus2.CEL.gz,5.587541339,5.587541339,5.587541339,5.587541339,5.587541339,5.587541339,5.587541339,5.587541339,7.323984872,5.17652285,0
GSM6150916_HZ0004_20050727_U133Plus2.CEL.gz,5.371543164,5.371543164,5.371543164,5.371543164,5.371543164,5.371543164,5.371543164,5.371543164,7.318829801,5.358544565,0
GSM6150921_HZ0017_20050801_U133Plus2.CEL.gz,5.531367847,5.531367847,5.531367847,5.531367847,5.531367847,5.531367847,5.531367847,5.531367847,7.842835622,5.162176906,0
GSM6150923_HZ0027_20050802_U133Plus2.CEL.gz,5.80645776,5.80645776,5.80645776,5.80645776,5.80645776,5.80645776,5.80645776,5.80645776,7.381587105,5.402842659,0
GSM6150925_HZ0045_20050802_U133Plus2.CEL.gz,5.534028655,5.534028655,5.534028655,5.534028655,5.534028655,5.534028655,5.534028655,5.534028655,5.827683484,5.122536036,0
GSM6150928_MH0005_20060718_U133Plus2.CEL.gz,5.370284928,5.370284928,5.370284928,5.370284928,5.370284928,5.370284928,5.370284928,5.370284928,6.295509631,5.117898067,0
GSM6150929_MH0007_20060718_U133Plus2.CEL.gz,5.301212155,5.301212155,5.301212155,5.301212155,5.301212155,5.301212155,5.301212155,5.301212155,6.178113568,5.212995081,0
GSM6150933_PB0064_2050602_U133Plus2.CEL.gz,4.951167866,4.951167866,4.951167866,4.951167866,4.951167866,4.951167866,4.951167866,4.951167866,7.111427021,5.182631978,0
GSM6150934_PB0080_20060418_U133Plus2.CEL.gz,5.946915575,5.946915575,5.946915575,5.946915575,5.946915575,5.946915575,5.946915575,5.946915575,8.870997055,5.290582626,0
GSM6150936_PB0085_20070128_U133Plus2.CEL.gz,5.772446803,5.772446803,5.772446803,5.772446803,5.772446803,5.772446803,5.772446803,5.772446803,8.482979223,5.486156041,0
GSM6150941_PB0145_20060418_U133Plus2.CEL.gz,5.482296374,5.482296374,5.482296374,5.482296374,5.482296374,5.482296374,5.482296374,5.482296374,7.92582577,5.258728298,0
GSM6150943_PB0161_20050801_U133Plus2.CEL.gz,5.190379265,5.190379265,5.190379265,5.190379265,5.190379265,5.190379265,5.190379265,5.190379265,5.989979028,5.281665211,0
GSM6150945_PB0219_20050801_U133Plus2.CEL.gz,5.63133758,5.63133758,5.63133758,5.63133758,5.63133758,5.63133758,5.63133758,5.63133758,7.789811155,4.931198658,0
GSM6150946_PB0226_20050727_U133Plus2.CEL.gz,5.988423609,5.988423609,5.988423609,5.988423609,5.988423609,5.988423609,5.988423609,5.988423609,8.250028692,5.611252601,0
GSM6150947_PB0231_20070417_U133Plus2.CEL.gz,5.326728527,5.326728527,5.326728527,5.326728527,5.326728527,5.326728527,5.326728527,5.326728527,9.375902032,5.913306802,0
GSM6150951_PB0283_20060315_U133Plus2.CEL.gz,5.448085054,5.448085054,5.448085054,5.448085054,5.448085054,5.448085054,5.448085054,5.448085054,7.759700776,5.287060166,0
GSM6150953_PB0331_20060316_U133Plus2.CEL.gz,5.599834912,5.599834912,5.599834912,5.599834912,5.599834912,5.599834912,5.599834912,5.599834912,6.345432549,4.930638285,0
GSM6150959_PB0405_20060418_U133Plus2.CEL.gz,5.436339062,5.436339062,5.436339062,5.436339062,5.436339062,5.436339062,5.436339062,5.436339062,7.640963663,5.002202651,0
